FACE;HR;TIME;HRV;VASO;STEP;HRVSEC;CONFID;STRESS;
===========================================
1;0;0.09;0;0;0;0;0;0;
1;0;0.101;0;0;0;0;0.0678561;0;
1;0;0.129;0;0;0;0;0.0531877;0;
1;0;0.161;0;0;0;0;0.0513124;0;
1;0;0.21;0;0;0;0;0.00159754;0;
1;0;0.242;0;0;0;0;0.00191275;0;
1;0;0.274;0;0;0;0;0.00221269;0;
1;0;0.305;0;0;0;0;0.00252556;0;
1;0;0.338;0;0;0;0;0.00283778;0;
1;0;0.37;0;0;0;0;0.0031486;0;
1;0;0.402;0;0;0;0;0.00345923;0;
1;0;0.434;0;0;0;0;0.00376908;0;
1;0;0.466;0;0;0;0;0.00407788;0;
1;0;0.498;0;0;0;0;0.00194836;0;
1;0;0.53;0;0;0;0;0.00208605;0;
1;0;0.561;0;0;0;0;0.0022239;0;
1;0;0.61;0;0;0;0;0.00236127;0;
1;0;0.642;0;0;0;0;0.00249882;0;
1;0;0.673;0;0;0;0;0.00263609;0;
1;0;0.706;0;0;0;0;0.00277319;0;
1;0;0.738;0;0;0;0;0.00291009;0;
1;0;0.77;0;0;0;0;0.00304662;0;
1;0;0.802;0;0;0;0;0.00318252;0;
1;0;0.841;0;0;0;0;0.00331783;0;
1;0;0.866;0;0;0;0;0.003453;0;
1;0;0.897;0;0;0;0;0.00358836;0;
1;0;0.93;0;0;0;0;0.00372423;0;
1;0;0.962;0;0;0;0;0.00386;0;
1;0;1.01;0;0;0;0;0.0039958;0;
1;0;1.042;0;0;0;0;0.00413135;0;
1;0;1.074;0;0;0;0;0.00414535;0;
1;0;1.106;0;0;0;0;0.0041582;0;
1;0;1.138;0;0;0;0;0.00416847;0;
1;0;1.17;0;0;0;0;0.0072307;0;
1;0;1.202;0;0;0;0;0.00723412;0;
1;0;1.234;0;0;0;0;0.00727169;0;
1;0;1.266;0;0;0;0;0.007268;0;
1;0;1.297;0;0;0;0;0.00726406;0;
1;0;1.33;0;0;0;0;0.00726101;0;
1;0;1.362;0;0;0;0;0.00725115;0;
1;0;1.41;0;0;0;0;0.00724712;0;
1;0;1.442;0;0;0;0;0.00724252;0;
1;0;1.473;0;0;0;0;0;0;
1;0;1.505;0;0;0;0;0;0;
