===========================================
CardiaSens File Data V1.5 :
Config file id :-2
2017/9/1 11:30:32 timestamp[1504258232:22077]
Orgine :Live
Saved Data :
===========================================
FACE;HR;TIME;HRV;VASO;STEP;HRVSEC;CONFID;STRESS;
===========================================
1;0;0.305;0;0;0;0;0;0;
1;0;0.351;0;0;0;0;0.0296464;0;
1;0;0.383;0;0;0;0;0.0222508;0;
1;0;0.415;0;0;0;0;0.00800132;0;
1;0;0.447;0;0;0;0;0.00945141;0;
1;0;0.479;0;0;0;0;0.0106838;0;
1;0;0.511;0;0;0;0;0.0121307;0;
1;0;0.543;0;0;0;0;0.00347202;0;
1;0;0.575;0;0;0;0;0.00389265;0;
1;0;0.607;0;0;0;0;0.0043024;0;
1;0;0.639;0;0;0;0;0.00470026;0;
1;0;0.671;0;0;0;0;0.00510367;0;
1;0;0.704;0;0;0;0;0.00550192;0;
1;0;0.739;0;0;0;0;0.00590044;0;
1;0;0.783;0;0;0;0;0.00628827;0;
1;0;0.815;0;0;0;0;0.00666;0;
1;0;0.847;0;0;0;0;0.0070343;0;
1;0;0.879;0;0;0;0;0.00742167;0;
1;0;0.911;0;0;0;0;0.00740289;0;
1;0;0.943;0;0;0;0;0.00776406;0;
1;0;0.975;0;0;0;0;0.00811575;0;
1;0;1.007;0;0;0;0;0.00796576;0;
1;0;1.04;0;0;0;0;0.00827954;0;
1;0;1.071;0;0;0;0;0.00859656;0;
1;0;1.104;0;0;0;0;0.00856923;0;
1;0;1.136;0;0;0;0;0.00888403;0;
1;0;1.183;0;0;0;0;0.00907963;0;
1;0;1.215;0;0;0;0;0.00939131;0;
1;0;1.247;0;0;0;0;0.00919936;0;
1;0;1.279;0;0;0;0;0.00948542;0;
1;0;1.311;0;0;0;0;0.00966476;0;
1;0;1.343;0;0;0;0;0.0098401;0;
1;0;1.375;0;0;0;0;0.0110442;0;
1;0;1.407;0;0;0;0;0.0110101;0;
1;0;1.439;0;0;0;0;0.0102688;0;
1;0;1.472;0;0;0;0;0.0102627;0;
1;0;1.504;0;0;0;0;0.0243818;0;
1;0;1.536;0;0;0;0;0.0240109;0;
1;0;1.583;0;0;0;0;0.0232449;0;
1;0;1.615;0;0;0;0;0.0224074;0;
1;0;1.647;0;0;0;0;0.021875;0;
1;0;1.679;0;0;0;0;0.0217863;0;
1;0;1.711;0;0;0;0;0.0215413;0;
1;0;1.743;0;0;0;0;0.0215423;0;
1;0;1.775;0;0;0;0;0.0209551;0;
1;0;1.807;0;0;0;0;0.021077;0;
1;0;1.84;0;0;0;0;0.0209362;0;
1;0;1.872;0;0;0;0;0.0226878;0;
1;0;1.905;0;0;0;0;0.0224456;0;
1;0;1.936;0;0;0;0;0.0224049;0;
