===========================================
CardiaSens File Data V1.5 :
Config file id :-2
2017/9/8 14:36:25 timestamp[1504874185:24201]
Orgine :Live
Saved Data :
===========================================
FACE,HR,TIME,HRV,VASO,STEP,HRVSEC,CONFID,STRESS,
===========================================
0,0,0.358,0,0,0,0,0,0,
0,0,0.511,0,0,0,0,0.00819572,0,
0,0,0.67,0,0,0,0,0.0060967,0,
0,0,0.798,0,0,0,0,0.00801701,0,
0,0,0.952,0,0,0,0,0.00980897,0,
0,0,1.11,0,0,0,0,0.0115379,0,
0,0,1.275,0,0,0,0,0.0121193,0,
0,0,1.43,0,0,0,0,0.00932416,0,
1,0,1.586,0,0,0,0,0.00983362,0,
0,0,1.636,0,0,0,0,0.0106345,0,
0,0,1.784,0,0,0,0,0.011602,0,
0,0,1.946,0,0,0,0,0.0123601,0,
0,0,2.104,0,0,0,0,0.0127998,0,
1,0,2.267,0,0,0,0,0.00877755,0,
0,0,2.292,0,0,0,0,0.00936233,0,
0,0,2.463,0,0,0,0,0.00966943,0,
0,0,2.635,0,0,0,0,0.0102152,0,
0,0,2.796,0,0,0,0,0.0107095,0,
0,0,2.967,0,0,0,0,0.0112594,0,
0,0,3.124,0,0,0,0,0.0117364,0,
0,0,3.3,0,0,0,0,0.0122735,0,
0,0,3.46,0,0,0,0,0.0128103,0,
0,0,3.629,0,0,0,0,0.0131953,0,
0,0,3.823,0,0,0,0,0.0136573,0,
0,0,3.99,0,0,0,0,0.0140362,0,
0,0,4.172,0,0,0,0,0.0144347,0,
0,0,4.356,0,0,0,0,0.0148877,0,
0,0,4.517,0,0,0,0,0.0153729,0,
0,0,4.699,0,0,0,0,0.015812,0,
0,0,4.865,0,0,0,0,0.0162358,0,
0,0,5.026,0,0,0,0,0.0183948,0,
0,0,5.184,0,0,0,0,0.0214854,0,
0,0,5.349,0,0,0,0,0.0214261,0,
0,0,5.505,0,0,0,0,0.0214466,0,
0,0,5.691,0,0,0,0,0.0215002,0,
0,0,5.862,0,0,0,0,0.0222858,0,
0,0,6,0,0,0,0,0.0278157,0,
0,0,6.17,0,0,0,0,0.0291391,0,
0,37,6.322,0,41.8772,0,0,0.029636,0,
0,37,6.483,0,41.8772,0,0,0.0296185,0,
0,37,6.641,0,41.8772,0,0,0.0301153,0,
0,37,6.795,0,41.8772,0,0,0.0312949,0,
0,37,6.949,0,41.8772,0,0,0.0777975,0,
0,37,7.103,0,41.8772,0,0,0.0771696,0,
0,37,7.258,0,41.8772,0,0,0.0876018,0,
0,37,7.418,0,41.8772,0,0,0.0853595,0,
0,37,7.578,0,41.8772,0,0,0.0871738,0,
0,40,7.739,0.0642996,25.7011,0,0.152675,0.0830187,10.6052,
0,40,7.879,0.0642996,25.7011,0,0.152675,0.0845189,10.6052,
0,40,8.034,0.0642996,25.7011,0,0.152675,0.0845896,10.6052,
1,40,8.189,0.0642996,25.7011,0,0.152675,0.0764179,10.6052,
0,40,8.244,0.0642996,25.7011,0,0.152675,0.0792361,10.6052,
1,40,8.401,0.0642996,25.7011,0,0.152675,0.0809589,10.6052,
0,40,8.416,0.0642996,25.7011,0,0.152675,0.0850648,10.6052,
1,40,8.577,0.0642996,25.7011,0,0.152675,0.0886186,10.6052,
0,40,8.644,0.0642996,25.7011,0,0.152675,0.0900512,10.6052,
0,40,8.8,0.0642996,25.7011,0,0.152675,0.0904889,10.6052,
1,46,8.963,0.107535,10.4495,0,0.235192,0.0922021,7.14538,
0,46,8.983,0.107535,10.4495,0,0.235192,0.0644282,7.14538,
0,46,9.168,0.107535,10.4495,0,0.235192,0.0674437,7.14538,
0,46,9.336,0.107535,10.4495,0,0.235192,0.0586286,7.14538,
1,46,9.515,0.107535,10.4495,0,0.235192,0.000187268,7.14538,
0,46,9.609,0.107535,10.4495,0,0.235192,0.000187274,7.14538,
0,46,9.772,0.107535,10.4495,0,0.235192,0.000187276,7.14538,
0,46,9.939,0.107535,10.4495,0,0.235192,0.000187279,7.14538,
0,53,10.113,0.12485,28.4496,0,0.241305,0.000187287,7.08549,
0,53,10.283,0.12485,28.4496,0,0.241305,0.000187291,7.08549,
0,53,10.491,0.12485,28.4496,0,0.241305,0.000187294,7.08549,
0,53,10.728,0.12485,28.4496,0,0.241305,0.000187298,7.08549,
0,53,10.89,0.12485,28.4496,0,0.241305,0.000187299,7.08549,
0,57,11.048,0.114825,21.4743,0,0.202525,0.000187302,8.29137,
0,57,11.223,0.114825,21.4743,0,0.202525,0.000187304,8.29137,
0,57,11.386,0.114825,21.4743,0,0.202525,0.00018731,8.29137,
0,57,11.553,0.114825,21.4743,0,0.202525,0.000187311,8.29137,
